,query,text
0,введение дополнительных пошлин запланировано на октябрь следующего года,"«На курсах подготовки к Единому государственному экзамену, которые работают при вузах, занятия начинаются в октябре, однако тем, кто хорошо знает предмет, может хватить и недели», — цитирует эксперта aif.ru . По словам специалиста, сложнее было тем школьникам, которые определились с направлением вуза только в феврале, когда надо было выбрать набор дополнительных экзаменов для сдачи. «Сейчас на курсы записываться уже поздно, поэтому остаётся только обратиться к репетитору», — отметила эксперт. Иванова рекомендовала перед выбором специалиста изучить отзывы о нём и выяснить его квалификацию, чтобы не попасть на мошенников, которые просто вытянут деньги. Ранее детский и семейный психолог Наталья Наумова рассказала , что в период сдачи ЕГЭ следует помнить о здоровье ребёнка и оказывать ему моральную поддержку."
1,введение дополнительных пошлин запланировано на октябрь следующего года,"Об этом он рассказал в интервью РИА Новости . «Мы всегда надеемся на лучшее, а готовимся к худшему. Соответственно, мы готовимся к тому, что сезон продлится до октября», — отметил он. По его словам, у ведомства имеются необходимые силы и средства. «Мы всё-таки очень ждём дождливого лета, в отличие от всех остальных граждан России», — добавил Советников, отметив, что Рослесхоз готов и дальше заниматься ликвидацией пожаров, если погода будет жаркой. Он также подчеркнул, что лесные пожары в Центральной России в этом году стартовали на месяц раньше — уже с середины марта. Ранее в Забайкальском крае ввели режим ЧС федерального характера из-за лесных пожаров."
2,введение дополнительных пошлин запланировано на октябрь следующего года,"«Переговоры были, они хотели сделать бой в августе. Умар не успевает. Мы думаем, что Ян не будет его ждать до октября. Умар выступит ближе к концу года», — сказал менеджер Ризван Магомедов. 9 апреля Пётр Ян предложил Умару провести поединок летом на турнирах в Баку или Абу-Даби. На следующий день Нурмагомедов ответил согласием, но отметил, что готов подраться в октябре. 23 ноября Ян одержал победу над бразильцем Дейвесоном Фигередо в главном событии турнира UFC Fight Night 248 в Макао. На турнире UFC 311 Нурмагомедов проиграл грузину Мерабу Двалишвили единогласным решением судей. Во время боя россиянин получил перелом руки. Ранее Хабиб Нурмагомедов рассказал , как относится к бою Петра Яна и Умара Нурмагомедова."
3,введение дополнительных пошлин запланировано на октябрь следующего года,"«Наша группа скоро уже выходит из отпуска, 10 мая мы начинаем тренировочный сбор в Турции. Снежную подготовку начнём в октябре, в том числе планируем, что наши спортсмены проведут тренировки в Европе, в Италии. Всё утверждено», — приводит слова Бородавко « ВсёПроСпорт ». Он также подчеркнул, что есть договорённости с гостиницами, тренировочными базами. В его группе тренируются Александр Большунов, Алёна Баранова, Артём Мальцев, Егор Митрошин, Елизавета Пантрина, Денис Спицов, Анастасия Фалеева, Алексей Червоткин, Мария Истомина. Напомним, что IBU и FIS не допускают россиян к турнирам с 2022 года. Ранее в FIS оценили возможное получение уайлд-кард для россиян на участие в Олимпиаде. "
4,введение дополнительных пошлин запланировано на октябрь следующего года,"Как отмечает РИА Новости, индексация касается всех пенсионеров силовых структур. Ранее Бессараб уже сообщала, что бывшим служащим силовых структур повысят пенсию в октябре . Кроме того, в беседе с RT депутат рассказала, кому из россиян положен досрочный выход на пенсию ."
5,введение дополнительных пошлин запланировано на октябрь следующего года,"Об этом агентству «Прайм» рассказал декан факультета права НИУ ВШЭ, профессор Вадим Виноградов. По его словам, при выходе на пенсию на десять лет позже можно увеличить её более чем в два раза. Кроме того, как добавил Виноградов, если позволяет ежемесячный доход, то можно увеличить размер выплат за счёт участия в программе долгосрочных сбережений. Для этого нужно заключить договор с НПФ. Профессор объяснил, что государство софинансирует эту программу. «Оно готово добавить до 36 тыс. рублей в год к средствам, которые гражданин вкладывает из своего кармана», — отметил он. Более того, эксперт отметил, что государство страхует внесённые средства, а в случае чрезвычайной ситуации вложения можно забрать досрочно без потери накопленного дохода. Виноградов также напомнил, что пенсионные баллы можно докупить, обратившись в Социальный фонд. Ранее депутат Госдумы Алексей Говырин рассказал , какие категории граждан могут оформить досрочную пенсию в 2025 году. Член комитета Госдумы по соцполитике Екатерина Стенякина предупредила , что из-за майских праздников график выплат пенсий россиянам поменяется для всех видов её получения."
6,введение дополнительных пошлин запланировано на октябрь следующего года,"Об этом пишет РИА Новости . Каникулы начнутся 26 мая. Продлятся они до 31 августа. Отмечается, что для девятиклассников окончание учебного года определяется ежегодно в соответствии с расписанием государственной итоговой аттестации. Ранее Министерство просвещения России установило нормы часов педагогической работы за ставку зарплаты ."
7,введение дополнительных пошлин запланировано на октябрь следующего года,"«Мы не сможем сыграть с Россией в сентябре или октябре. Нам поступили более выгодные предложения. Ноябрь всё ещё свободен и мы общаемся», — приводит слова Алонсо Sport24 . Напомним, в феврале 2022 года ФИФА и УЕФА отстранили российские команды от международных турниров под своей эгидой из-за ситуации на Украине. Ранее сообщалось , что сборная России по футболу планирует провести товарищеский матч с Индонезией."
8,введение дополнительных пошлин запланировано на октябрь следующего года,"Компания в своей отчётности связывает это с ростом ставки налога на прибыль. Прибыль «Транснефти» до налогообложения выросла до 57,2 млрд рублей, что больше прошлогодних показателей на 7,2% (3,8 млрд рублей). Как стало известно ранее, годовая выручка «Газпрома» превысила прогнозы и составила 10,7 трлн рублей."
9,введение дополнительных пошлин запланировано на октябрь следующего года,"«В этом году мы планируем, что перешагнём 30-тысячную планку экспорта автомобилей суммарно по странам», — цитирует его ТАСС. Ранее АвтоВАЗ отозвал более 22 тыс. Lada Vesta и свыше 24 тыс. Lada Largus, реализованных в период с октября 2021 года по август 2023 года."
10,обожаю мультики,"«Мне больше нравится игра «Трактора», хотя и «Локомотив» тоже достоин Кубка. Но я симпатизирую челябинцам. Их стиль напоминает игру моего времени, поэтому моя симпатия на стороне «Трактора», — цитирует Фетисова «Спорт-Экспресс» . Ярославцы пробились в решающее противостояние Кубка Гагарина второй раз подряд. Челябинцы выходили в финал в 2013-м, но уступили московскому «Динамо». Ранее Карпухин предположил , что предстоит классный финал Кубка Гагарина. "
11,обожаю мультики,"«Что такое любовь, я поняла, когда встретила Диму. Это не передать словами, это бабочки в животе. Я каждую секунду думаю о Диме, очень сильно хочу его увидеть и быть рядом. Если мы не рядом два-три дня, я уже очень сильно скучаю», — приводит слова Авериной РИА Новости. Соловьёв и Аверина выступали в шоу «Ледниковый период» на Первом канале. Пара разделила победу в проекте с Татьяной Волосожар и Борисом Крестиным. Зимой фигурист сделал гимнастке предложение. Ранее Дина Аверина призналась , что особо не следит за гимнастикой после завершения карьеры. "
12,обожаю мультики,"«В начале сезона мне понравился Глушенков. Дальше мне очень импонировал Батраков. В этом сезоне было много ребят, которых можно выделить. Сейчас мне очень нравится Луис Энрике из «Зенита», — цитирует Игнатьева Betonmobile . После 26 туров РПЛ лидером турнирной таблицы является «Краснодар». В активе команды 58 очков. На второй позиции расположился «Зенит» (54 очка). На третьей позиции — ЦСКА (51 очко). Ранее сообщалось , что Дмитрий Булыкин назвал причины плохой игры «Спартака» после зимней паузы."
13,обожаю мультики,"«Я люблю вечером посмотреть какие-нибудь странные вещи — типа «Битвы экстрасенсов». Об этом никто не знал», — приводит слова Загитовой «Спортмастер Медиа» . Напомним, что Загитова — единственная в истории России фигуристка-одиночница, которая завоевала все титулы в фигурном катании. Ранее она рассказала о своей любви ко сну."
14,обожаю мультики,"«Трампу нравится Овечкин, он встречался с ним. Он видит, что многие в США любят Овечкина, поэтому и отмечает его часто, хвалит. Саша на слуху, президент страны не может не знать о его достижениях. При этом Трамп зарабатывает очки на ровном месте, пиарясь на имени Овечкина», — цитирует Крикунова «ВсёПроСпорт». Напомним, что Трамп назвал Овечкина крепким орешком на встрече с премьером Канады. Россиянин побил рекорд Уэйна Гретцки по голам в регулярных чемпионатах НХЛ. На счету у форварда 897 шайб, в то время как у канадца — 894. Рекорд продержался 26 лет. Ранее Александр Овечкин оценил предстоящие матчи с «Каролина Харрикейнз»."
15,обожаю мультики,"«Чем дальше, тем больше МУС демонстрировал свою зависимость от политико-идеологических факторов, которые в принципе должны были быть исключены из его практики. Сформировалась очевидная всем склонность этого международного органа осуждать или миловать исключительно в интересах так называемого коллективного Запада на основе его излюбленных двойных стандартов», — отметил он. Политик добавил, что МУС заискивал даже перед странами, которые вполне пренебрежительно отзывались о суде и его практике, например США. «Оно и понятно, поскольку в западном мире существует жёсткая иерархия взаимоотношений, которая со всей очевидностью проявилась совсем недавно в «деле Нетаньяху — Галанта и других», когда европейские страны как участники Статута МУС вначале высказали готовность включиться в преследование израильского руководства, а затем, после жёсткой отповеди из Вашингтона, начали поочерёдно заявлять об «исключительном характере этого дела» и отказе от уголовного преследования израильских должностных лиц», — написал Медведев. По его мнению, уже после этого МУС должен был принять решение о самороспуске, потому что большего неуважения со стороны стран — участниц Статута и представить себе невозможно. Вместе с этим в своей статье Медведев назвал другие причины полной несостоятельности МУС. Полная версия статьи Медведева — в материале RT."
16,обожаю мультики,"«С удовольствием пою, записываю песни в студии. Под моё исполнение катается, например, Ягудин. В последнее время мне предлагают спеть какие-то песни. У меня нет каких-то вокальных данных, но я пою от души», — цитирует Костомарова Sport24 . 10 января 2023 года спортсмен с пневмонией попал в реанимацию. Из-за развившегося некроза ему ампутировали стопы и кисти. 17 декабря того же года фигурист впервые после ампутации конечностей вышел на лёд и исполнил номер со своей экс-партнёршей по профессиональному спорту Татьяной Навкой. Ранее сообщалось , что Костомаров отказался участвовать в выборах главы Федерации фигурного катания России."
17,обожаю мультики,"«Мы не любим проигрывать, ненавидим это. И неважно, во что мы играем: в фишки или выступаем на чемпионате мира или Олимпийских играх. Мы не хотим проигрывать. Конечно, нас это цепляет. В команде нет равнодушных, все хотят сохранить лицо и выиграть следующую игру. Это спорт. Фактор удачи имеет значение. Сегодня снова повезло Белоруссии. Везёт тому, кто везёт. Не нужно искать оправданий. Каждому нужно начать с себя. Ротенберг всегда ведёт себя одинаково: мотивирует команду, заводит её, чтобы никто не вешал нос», — заявил он. Ранее сообщалось , что хет-трик Виталия Пинчука принёс Белоруссии третью победу подряд над сборной «Россия 25». "
18,обожаю мультики,"«AUR получила многочисленные тревожные сигналы, указывающие на попытки фальсификации результатов выборов», — приводит РИА Новости данное заявление. Как утверждает оппозиция, в ходе избирательного процесса были зафиксированы передвижения урн для голосования, а также использование заранее проштампованных бюллетеней. Кроме того, в одном из уездов наблюдателей на участках заставили подписать пустые протоколы. «AUR продолжит документировать и сообщать о любых нарушениях», — заключили в партии. Выборы президента Румынии стартовали 4 мая."
19,обожаю мультики,"Об этом передаёт Al Mayadeen . Отмечается, что все рейсы перенаправлены в город Мисурата. Ранее сообщалось, что в разных районах Триполи начались столкновения , слышна стрельба. На улицах города замечена военная техника."
20,в Московском зоопарке начали,"Камеры размещены в уличных вольерах, следить за животными можно каждый день в соответствии с графиком работы зоопарка, пишет сайт mos.ru . Львы живут на новой территории зоопарка. Детёныши у львицы Нои родились весной 2015 года. Их назвали Роксак и Умида. Амурский тигр Степан приехал в Москву из зоосада в вотчине Деда Мороза в Великом Устюге в августе 2021 года. Сейчас ему десять лет. Трансляции из вольеров Московского зоопарка на портале mos.ru запустили осенью 2024 года. Ранее в Московском зоопарке рассказали, что панда Катюша и её мама Диндин теперь живут в отдельных вольерах."
21,в Московском зоопарке начали,"Правительство РФ переутвердило перечень животных, запрещённых к содержанию в бытовых условиях. Соответствующий документ опубликован на официальном портале правовой информации, распоряжение подписал премьер-министр Михаил Мишустин. Новый список содержит более 120 разновидностей животных, неподходящих для содержания дома. Согласно российскому законодательству, запрет не распространяется на содержание таких животных в зоопарках, зоосадах, цирках, зоотеатрах, дельфинариях, океанариумах или в качестве служебных животных. Всего в обновлённом списке восемь категорий животных, самая обширная из которых — млекопитающие. Под запрет кабмина подпали большие кошки (львы, тигры, леопарды, ягуары, рыси), слоны, носороги, бегемоты, жирафы, гиены, приматы и дикобразы. Не получится держать дома и более привычных для России животных — волков, лис и медведей. Запрет также распространяется на содержание некоторых водных животных, в их числе как млекопитающие (киты, моржи, тюлени), так и рыбы (акулы, скаты, мурены, электрические угри). Отдельное ограничение введено для морских окуней: теперь дома можно будет держать только особей меньше 1,5 м в длину. Новый перечень включает и ряд птиц, в том числе страусов, пингвинов, фламинго, пеликанов, журавлей, филинов и сов. Из пресмыкающихся теперь запрещены крокодилы, некоторые черепахи, различные виды змей (кобры, мамбы, тайпаны, питоны длиннее 4 м) и ящериц (ядозубы и комодские вараны). Запрет распространяется на ядовитых пауков, в том числе на чёрную вдову и тарантула, а также на скорпионов и некоторые виды древесных лягушек. Распоряжение вступит в силу 1 сентября этого года и будет действовать до 1 сентября 2031-го. Обновлённый запрет в беседе с RT обсудил юрист Александр Хаминский, руководитель Центра правопорядка в г. Москве и Московской области. Он отметил, что содержание дома диких животных не только противозаконно и карается штрафом, но и может представлять угрозу для людей, в первую очередь для самих хозяев. «Пользователи социальных сетей зачастую умиляются кадрам видеоисторий, в которых пумы, лисы или волки не просто живут в квартирах или частных домах, но и порой спят со своими хозяевами в одной кровати и едят с ними за одним столом. Между тем такое очеловечивание зверей может привести к трагедии, ведь большинство диких животных по своей природе являются хищниками и могут напасть на человека в любой момент. Риску подвергаются не только владельцы, но и их соседи, особенно маленькие дети», — предупредил юрист. Кроме того, практически во всех случаях содержание в жилых помещениях экзотических животных приводит к нарушению санитарных требований. Например, у людей могут развиваться аллергические реакции, а также кожные и некоторые другие заболевания. «Именно по этим причинам закон об ответственном обращении с животными вводит прямой запрет на содержание лесных жителей в квартирах и домах. В случае выявления подобных фактов животные будут конфискованы по решению суда», — заявил эксперт. Более того, помимо конфискации, владельцам грозит административная, а иногда и уголовная ответственность. «Согласно ст. 8.52 КоАП РФ, за содержание запрещённых животных гражданам грозит штраф до 15 тыс. рублей. А если данный вид занесён в Красную книгу, то наступает уже уголовная ответственность: ст. 258.1 УК РФ предусматривает штраф до 1 млн рублей или лишение свободы сроком до четырёх лет», — заключил собеседник RT. Несмотря на строгий запрет, в России по-прежнему нередко выявляются случаи содержания диких животных в жилых помещениях. Так, в начале марта в Московский зоопарк передали самца пумы по кличке Геркулес, которого изъяли у местного жителя. Хищника несколько лет держали в тесной квартире в Кунцево и выгуливали по району без намордника. Более того, специалисты выяснили, что Геркулес страдал эпилепсией. Месяцем ранее в столичной прокуратуре сообщили о спасении львёнка, которого выставили на продажу на платформе объявлений за 260 тыс. рублей. В результате инсценированной покупки трёхмесячную львицу изъяли. Сообщалось, что продавец не представил никаких документов, подтверждающих законность владения животным."
22,в Московском зоопарке начали,"Они собирают данные о биологическом разнообразии водоёмов, состоянии редких видов животных и растений и состоянии экосистем, пишет «Вечерняя Москва» со ссылкой на портал мэра и правительства Москвы и на столичный Департамент природопользования и охраны окружающей среды. В этом году учёные начали работу с исследования Бабаевского пруда. Руководитель Департамента природопользования Юлия Урожаева отметила, что парк находится под постоянным контролем, а на его территории обитает более 300 видов животных и произрастает свыше 1 тыс. растений. Ранее сообщалось, что на природных территориях столицы обитают мелкие виды млекопитающих , занесённые в Красную книгу Москвы."
23,в Московском зоопарке начали,"А с 2017-го учащиеся побывали в культурных учреждениях более 3,7 млн раз, сообщает сайт «Москва 24» со ссылкой на сайт мэра и правительства Москвы и на пресс-службу столичного Департамента образования и науки. За время работы сервиса Государственный биологический музей имени К.А. Тимирязева ученики посетили свыше 136 тыс. раз, музей-панораму «Бородинская битва» — более 124 тыс. раз, Государственный музей обороны Москвы — свыше 117 тыс. раз. Всего с помощью «Москвёнка» школьники и студенты колледжей могут бесплатно посещать свыше 110 столичных музеев. Ранее мэр Москвы Сергей Собянин рассказал, что в столице продолжают улучшать сервисы Московской электронной школы в рамках развития цифровой экосистемы образования."
24,в Московском зоопарке начали,"Ещё более тысячи нужных зоотоваров передали для животных из приютов на приграничных территориях. Передавали подарки горожане через «Домики добра», пишет «Вечерняя Москва» со ссылкой на официальный портал мэра Москвы. «Волонтёры помогали горожанам упаковывать товары, подписывать открытки с добрыми пожеланиями и поздравлениями к 9 Мая», — прокомментировала председатель Комитета общественных связей и молодёжной политики Москвы Екатерина Драгунова. Ранее сообщалось, что столичные школы при содействии ресурсного центра «Мосволонтёр» оказывают помощь участникам специальной военной операции и жителям новых и приграничных территорий: отправляют гуманитарные грузы, письма и открытки, а также плетут маскировочные сети и изготавливают окопные свечи."
25,в Московском зоопарке начали,Об этом пишет РИА Новости . Ранее президент Зимбабве прибыл в Москву.
26,в Московском зоопарке начали,"Это затронет уличные парковки, на которых действуют тарифы 380, 450 и 600 рублей в час, а также автостоянки в зонах динамического тарифа, пишет сайт «Москва 24» со ссылкой на Telegram -канал главы города. «Исключением станут лишь парковки со шлагбаумом. Они продолжат работать в обычном режиме», — уточнил мэр. Ранее Собянин сообщил, что сезон летней навигации по Москве-реке открылся 24 апреля. В честь этого в городе состоялся парад судов."
27,в Московском зоопарке начали,"Об этом сообщает URA.RU со ссылкой на Telegram-канал правительства ЯНАО. «Птицы попали в объектив камеры надымского путешественника Игоря Кузнецова», — сказано в тексте. Специалисты отмечают, что прилёт пуночек свидетельствует о скором потеплении. Ранее сообщалось, что в Московском зоопарке животные и птицы начали выходить из зимних вольеров на уличные территории."
28,в Московском зоопарке начали,"Один из них начинается в ботаническом саду на Манежной площади, где можно увидеть редкие южные растения и тропический водопад. Далее маршрут идёт вдоль Российской государственной библиотеки, по Большому Каменному мосту, Новому Арбату и Бульварному кольцу, пишет сайт «Москва 24» со ссылкой на портал мэра и правительства Москвы. В рамках разных маршрутов гуляющие смогут увидеть сады, редкие растения, уличные композиции и арт-объекты из растений и цветов. Например, в Столешниковом переулке установили арки-фасады, стилизованные под старинные московские особняки. А в июне для гостей откроются новые маршруты — по Камергерскому переулку, Никольской улице и Кузнецкому Мосту, где обустроят многоуровневый сад с миниатюрными водопадами. Ранее заммэра Москвы Наталья Сергунина рассказала, что одной из ключевых тем фестиваля «Сады и цветы» в столице стало 80-летие Победы."
29,в Московском зоопарке начали,"Ещё пять фонтанов начнут работать позже, сообщает neva.today со ссылкой на пресс-службу «Водоканала». В понедельник начали работать фонтаны «Слава» в московском парке Победы, сооружение у Российской национальной библиотеки и источник «Маяк» в парке 300-летия Петербурга. С 1 мая запустят фонтанные комплексы на площадях Московской и Ленина, светомузыкальный фонтан в Петергофе на Торговой площади, фонтан «Крестики-нолики» в Сестрорецке и фонтан у Гостиного двора в Кронштадте. В марте в Москве начались работы по подготовке к открытию сезона фонтанного комплекса на Манежной площади."
30,Ранее во Владивостоке,"С заявлением об этом выступил председатель нижней палаты парламента Вячеслав Володин. Он отметил, что указанный законопроект значится в списке необходимых для полного законодательного обеспечения реализации послания президента России Владимира Путина Федеральному собранию. «Рассмотрим его в приоритетном порядке», — приводит слова Володина пресс-служба Госдумы. Ранее сообщалось, что правительство России одобрило удвоение страховых выплат по безотзывным вкладам."
31,Ранее во Владивостоке,"Как пишет ТАСС, он сел на место, расположенное слева от Мавзолея. Также свои места уже заняли спикер Совета Федерации Валентина Матвиенко, председатель Госдумы Вячеслав Володин, зампред российского Совбеза Дмитрий Медведев и другие высокопоставленные гости. Ранее сообщалось, что президент России Владимир Путин встречает глав иностранных делегаций в Кремле в преддверии парада Победы на Красной площади. RT ведёт прямую трансляцию ."
32,Ранее во Владивостоке,"Соответствующее заявление он сделал на медиафоруме «17 ценностей России». «Мы ждали, мы с вами верили, мы не сомневались, что так будет. Этот день настал», — цитирует его ТАСС. Ранее пресс-секретарь российского лидера Дмитрий Песков заявил, что начальник Генштаба России Валерий Герасимов доложил президенту России Владимиру Путину об освобождении Курской области от украинских оккупантов . Позднее Путин поздравил российские войска с освобождением Курской области от украинских оккупантов ."
33,Ранее во Владивостоке,"Об этом пишет Telegram-канал «Пул Первого» . «Самый необычный почётный караул встретил Первого в городе-герое Волгограде», — говорится в сообщении. Ранее президент России Владимир Путин прилетел в Волгоград , где встретился со своим белорусским коллегой Александром Лукашенко."
34,Ранее во Владивостоке,"Об этом сообщает РИА Новости со ссылкой на своего корреспондента. Ранее Владимир Путин прибыл в Волгоград , где вместе с Александром Лукашенко возложил венки в Зале воинской славы на Мамаевом кургане. Кроме того, российский лидер принял участие в заседании форума «Великое наследие — общее будущее» ."
35,Ранее во Владивостоке, Ранее Путин на встрече с гендиректором «ДОМ.РФ» Виталием Мутко призвал активнее объяснять ситуацию с ипотекой россиянам .
36,Ранее во Владивостоке,"Он сделал это в ходе разговора с российским президентом в Кремле. «Спасибо вам ещё раз за это торжественное мероприятие, за великолепный парад, на котором мы сегодня присутствовали», — отметил Вучич. Кроме того, он выразил надежду на встречу с российским лидером в Сербии. Ранее Путин встретился с сербским лидером в Кремле. Вучич заявил в интервью журналисту Павлу Зарубину, что он дал слово Владимиру Путину быть 9 мая в Москве и своё слово сдержал ."
37,Ранее во Владивостоке,"Встреча проходит в представительском кабинете в Кремле. Ранее пресс-секретарь российского лидера Дмитрий Песков заявил, что Путин принимает Уиткоффа в Кремле."
38,Ранее во Владивостоке,"Соответствующий указ опубликован на официальном портале правовой информации. «За достигнутые высокие показатели в производственной деятельности», — указывается в документе. Ранее Путин присвоил российскому скрипачу и дирижёру Владимиру Спивакову звание Героя Труда."
39,Ранее во Владивостоке,"Об этом в Telegram-канале информирует губернатор региона Владимир Владимиров. «Уважаемые земляки! На территории Ставропольского края объявлена беспилотная опасность», — говорится в сообщении. Ранее в Севастополе отменили воздушную тревогу. Кроме того, сообщалось, что в районе Новороссийска Краснодарского края идёт отражение атаки беспилотников и безэкипажных катеров ВСУ."
